samples	Sample	Full_name_old	Plot	combo	Block_Unit	Depth	Date	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)
ASCC208_T1A_6_0923_SJ_1C	Sample208	SJ	T1A	SJ_TA1_OM	6	OM	45195	0.12	SJ_TA1_OM	TA	1	OM	45195	O_Horizon	45246	NORM	NA	0.114320604	714.29	NA	25.397	1.0772	NA	NA
ASCD209_T3A_5_0923_SJ_1C	Sample209	SJ	T3A	SJ_TA3_OM	5	OM	45196	0.28	SJ_TA3_OM	TA	3	OM	45196	O_Horizon	45246	NORM	NA	0.564725215	434.37	NA	33.2772	1.64	NA	NA
ASCC21_T2C_3_0923_SJ_1C_15	Sample21	SJ	T2C	SJ_TC2_5_15cm	3	5_15cm	45196	0.59	SJ_TC2_5_15cm	TC	2	5_15cm	45196	Mineral	45224	NORM	0.77	0.083243243	654.4513473	6.915	3.5033	0.2615	0.4714	8.5137
ASCC210_T2C_7_0923_SJ_1C	Sample210	SJ	T2C	SJ_TC2_OM	7	OM	45196	0.18	SJ_TC2_OM	TC	2	OM	45196	O_horizon	45212	NORM	NA	0.179136062	944.1	NA	36.6209	1.5148	NA	NA
ASCC211_C4_4_0923_SJ_1C	Sample211	SJ	C4	SJ_C4_OM	4	OM	45194	0.2	SJ_C4_OM	C	4	OM	45194	O_Horizon	45246	NORM	NA	0.258958243	881.5	NA	19.0096	1.28	NA	NA
ASCC212_T4C_6_0923_SJ_1C	Sample212	SJ	TC3	SJ_TC3_OM	6	OM	45195	0.36	SJ_TC3_OM	TC	3	OM	45196	O_Horizon	45246	NORM	NA	0.620163803	449.02	NA	36.0613	1.947	NA	NA
ASCC213_T3A_4_0923_SJ_1C	Sample213	SJ	T3A	SJ_TA3_OM	4	OM	45196	0.15	SJ_TA3_OM	TA	3	OM	45196	O_Horizon	45246	NORM	NA	0.564725215	434.37	NA	33.2772	1.64	NA	NA
ASCC214_C1_4_0923_SJ_1C	Sample214	SJ	C1	SJ_C1_OM	4	OM	45195	0.28	SJ_C1_OM	C	1	OM	45195	O_Horizon	45244	NORM	NA	0.316258213	693.24	NA	23.334	1.3671	NA	NA
ASCC215_T4A_6_0923_SJ_1C	Sample215	SJ	T4A	SJ_TA4_OM	6	OM	45197	0.16	SJ_TA4_OM	TA	4	OM	45197	O_Horizon	45244	NORM	NA	0.325789731	583.44	NA	25.4968	1.3839	NA	NA
ASCC216_T4B_5_0923_SJ_1C	Sample216	SJ	T4B	SJ_TB4_OM	5	OM	45197	0.24	SJ_TB4_OM	TB	4	OM	45194	O_Horizon	45247	NORM	NA	0.205850594	458.46	NA	26.5462	1.5498	NA	NA
ASCC217_TB3_5_0923_SJ_1C	Sample217	SJ	TB3	SJ_TB3_OM	5	OM	45196	0.51	SJ_TB3_OM	TB	3	OM	45196	O_Horizon	45246	NORM	NA	0.377164539	485.83	NA	36.2527	1.6755	NA	NA
ASCC218_T1A_3_0923_SJ_1C	Sample218	SJ	T1A	SJ_TA1_OM	3	OM	45195	0.17	SJ_TA1_OM	TA	1	OM	45195	O_Horizon	45246	NORM	NA	0.114320604	714.29	NA	25.397	1.0772	NA	NA
ASCC219_T4A_3_0923_SJ_1C	Sample219	SJ	T4A	SJ_TA4_OM	3	OM	45194	0.29	SJ_TA4_OM	TA	4	OM	45197	O_Horizon	45244	NORM	NA	0.325789731	583.44	NA	25.4968	1.3839	NA	NA
ASCC22_TB3_5_0923_SJ_1C_15	Sample22	SJ	TB3	SJ_TB3_5_15cm	5	5_15cm	45196	0.61	SJ_TB3_5_15cm	TB	3	5_15cm	45196	Mineral	45223	NORM	1.616	0.183845279	196.0729195	5.824	2.549	0.1188	0.7102	0.0784
ASCC220_T1A_2_0923_SJ_1C	Sample220	SJ	T1A	SJ_TA1_OM	2	OM	45195	0.25	SJ_TA1_OM	TA	1	OM	45195	O_Horizon	45246	NORM	NA	0.114320604	714.29	NA	25.397	1.0772	NA	NA
ASCC221_C4_3_0923_SJ_1C	Sample221	SJ	C4	SJ_C4_OM	3	OM	45194	0.32	SJ_C4_OM	C	4	OM	45194	O_Horizon	45246	NORM	NA	0.258958243	881.5	NA	19.0096	1.28	NA	NA
ASCC222_T1A_2_0923_SJ_1C	Sample222	SJ	T1A	SJ_TA1_OM	2	OM	45195	0.31	SJ_TA1_OM	TA	1	OM	45195	O_Horizon	45246	NORM	NA	0.114320604	714.29	NA	25.397	1.0772	NA	NA
ASCC223_C2_4_0923_SJ_1C	Sample223	SJ	C2	SJ_C2_OM	4	OM	45196	0.14	SJ_C2_OM	C	2	OM	45195	O_Horizon	45212	NORM	NA	0.523556496	967.5	NA	34.1503	1.6465	NA	NA
ASCC224_C3_5_0923_SJ_1C	Sample224	SJ	C3	SJ_C3_OM	5	OM	45196	0.25	SJ_C3_OM	C	3	OM	45196	O_Horizon	45212	NORM	NA	0.089994933	564.12	NA	40.3262	1.5891	NA	NA
ASCC225_T1C_4_0923_SJ_1C	Sample225	SJ	T1C	SJ_TC1_OM	4	OM	45195	0.17	SJ_TC1_OM	TC	1	OM	45195	O_Horizon	45244	NORM	NA	0.433282454	614.4	NA	32.4629	1.454	NA	NA
ASCC226_T2C_5_0923_SJ_1C	Sample226	SJ	T2C	SJ_TC2_OM	5	OM	45196	0.19	SJ_TC2_OM	TC	2	OM	45196	O_horizon	45212	NORM	NA	0.179136062	944.1	NA	36.6209	1.5148	NA	NA
ASCC227_TB3_3_0923_SJ_1C	Sample227	SJ	TB3	SJ_TB3_OM	6	OM	45196	0.13	SJ_TB3_OM	TB	3	OM	45196	O_Horizon	45246	NORM	NA	0.377164539	485.83	NA	36.2527	1.6755	NA	NA
ASCC228_T4B_3_0923_SJ_1C	Sample228	SJ	T4B	SJ_TB4_OM	3	OM	45194	0.33	SJ_TB4_OM	TB	4	OM	45194	O_Horizon	45247	NORM	NA	0.205850594	458.46	NA	26.5462	1.5498	NA	NA
ASCC229_C3_3_0923_SJ_1C	Sample229	SJ	C3	SJ_C3_OM	3	OM	45196	0.25	SJ_C3_OM	C	3	OM	45196	O_Horizon	45212	NORM	NA	0.089994933	564.12	NA	40.3262	1.5891	NA	NA
ASCC23_C4_4_0923_SJ_1C_15	Sample23	SJ	C4	SJ_C4_5_15cm	4	5_15cm	45194	0.43	SJ_C4_5_15cm	C	4	5_15cm	45197	Mineral	45230	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0
ASCC230_TB2_3_0923_SJ_1C	Sample230	SJ	TB2	SJ_TB2_OM	3	OM	45195	0.14	SJ_TB2_OM	TB	2	OM	45195	O_Horizon	45246	NORM	NA	0.31481033	959.4	NA	29.9266	1.4451	NA	NA
ASCC231_T2A_3_0923_SJ_1C	Sample231	SJ	T2A	SJ_TA2_OM	3	OM	45196	0.11	SJ_TA2_OM	TA	2	OM	45195	O_Horizon	45212	NORM	NA	0.30991426	651.63	NA	22.1774	1.3168	NA	NA
ASCC232_T2A_5_0923_SJ_!C	Sample232	SJ	T2A	SJ_TA2_OM	5	OM	45195	0.58	SJ_TA2_OM	TA	2	OM	45195	O_Horizon	45212	NORM	NA	0.30991426	651.63	NA	22.1774	1.3168	NA	NA
ASCC233_T3C_4_0923_SJ_1C	Sample233	SJ	TC3	SJ_TC3_OM	4	OM	45196	0.28	SJ_TC3_OM	TC	3	OM	45196	O_Horizon	45246	NORM	NA	0.620163803	449.02	NA	36.0613	1.947	NA	NA
ASCC234_T4C_5_0923_SJ_1C	Sample234	SJ	T4C	SJ_TC4_OM	5	OM	45194	0.24	SJ_TC4_OM	TC	4	OM	45194	O_Horizon	45247	NORM	NA	0.261723051	577.72	NA	34.4324	1.5434	NA	NA
ASCC235_C1_5_0923_SJ_1C	Sample235	SJ	C1	SJ_C1_OM	5	OM	45195	0.2	SJ_C1_OM	C	1	OM	45195	O_Horizon	45244	NORM	NA	0.316258213	693.24	NA	23.334	1.3671	NA	NA
ASCC236_T4C_4_0923_SJ_1C	Sample236	SJ	T4C	SJ_TC4_OM	4	OM	45194	0.25	SJ_TC4_OM	TC	4	OM	45194	O_Horizon	45247	NORM	NA	0.261723051	577.72	NA	34.4324	1.5434	NA	NA
ASCC237_T1B_5_0923_SJ_1C	Sample237	SJ	T1B	SJ_TB1_OM	5	OM	45195	0.15	SJ_TB1_OM	TB	1	OM	45195	O_Horizon	45246	NORM	NA	0.397687261	570.71	NA	28.9579	1.3185	NA	NA
ASCC238_112_0823_SF_1C	Sample238	SF	112	SF_112_0_5cm	0	0_5cm	45162	0.46	SF_112_0_5cm	14	4	0_5cm	45162	Mineral	45163	NORM	0.98	0.108527132	309.6270629	5.355	5.835	0.1911	0.1841	0.1873
ASCC239_TB2_6_0923_SJ_1C	Sample239	SJ	TB2	SJ_TB2_OM	6	OM	45195	0.27	SJ_TB2_OM	TB	2	OM	45195	O_Horizon	45246	NORM	NA	0.31481033	959.4	NA	29.9266	1.4451	NA	NA
ASCC24_TB3_3_0923_SJ_1C_5	Sample24	SJ	TB3	SJ_TB3_0_5cm	3	0_5cm	45195	0.53	SJ_TB3_0_5cm	TB	3	0_5cm	45196	Mineral	45223	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843
ASCC240_T3C_5_0923_SJ_1C	Sample240	SJ	TC3	SJ_TC3_OM	5	OM	45196	0.69	SJ_TC3_OM	TC	3	OM	45196	O_Horizon	45246	NORM	NA	0.620163803	449.02	NA	36.0613	1.947	NA	NA
ASCC241_T1B_4_0923_SJ_1C	Sample241	SJ	T1B	SJ_TB1_OM	4	OM	45195	0.15	SJ_TB1_OM	TB	1	OM	45195	O_Horizon	45246	NORM	NA	0.397687261	570.71	NA	28.9579	1.3185	NA	NA
ASCC242_T1C_3_0923_SJ_1C	Sample242	SJ	T1C	SJ_TC1_OM	3	OM	45195	0.13	SJ_TC1_OM	TC	1	OM	45195	O_Horizon	45244	NORM	NA	0.433282454	614.4	NA	32.4629	1.454	NA	NA
ASCC243_T2C_3_0923_SJ_1C	Sample243	SJ	T2C	SJ_TC2_OM	3	OM	45196	0.25	SJ_TC2_OM	TC	2	OM	45196	O_horizon	45212	NORM	NA	0.179136062	944.1	NA	36.6209	1.5148	NA	NA
ASCC244_T3C_3_0923_SJ_1C	Sample244	SJ	TC3	SJ_TC3_OM	3	OM	45196	0.14	SJ_TC3_OM	TC	3	OM	45196	O_Horizon	45246	NORM	NA	0.620163803	449.02	NA	36.0613	1.947	NA	NA
ASCC245_76_0823_SF_1C	Sample245	SF	76	SF_76_OM	0	OM	45162	0.11	SF_76_OM	8	3	OM	45162	O_Horizon	45166	NORM	NA	0.270940472	669.76	NA	42.304	1.3753	NA	NA
ASCC246_32_0823_SF_1C	Sample246	SF	32	SF_32_OM	0	OM	45160	0.11	SF_32_OM	4	1	OM	45160	O_Horizon	45166	NORM	NA	0.24402143	999.75	NA	28.1521	1.0095	NA	NA
ASCC247_151_0823_SF_1C	Sample247	SF	151	SF_151_OM	0	OM	45161	0.15	SF_151_OM	16	2	OM	45161	O_Horizon	45166	NORM	NA	0.245925518	668.85	NA	30.1965	1.2563	NA	NA
ASCC25_T3C_3_0923_SJ_1C_5	Sample25	SJ	TC3	SJ_TC3_0_5cm	3	0_5cm	45196	0.34	SJ_TC3_0_5cm	TC	3	0_5cm	45196	Mineral	45240	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0
ASCC250_55_SF_0823_1C	Sample250	SF	55	SF_55_OM	0	OM	45160	0.3	SF_55_OM	7	3	OM	45160	O_Horizon	45166	NORM	NA	0.434718443	1799.5	NA	24.4176	1.0136	NA	NA
ASCC251_5_0823_SF_1C	Sample251	SF	5	SF_5_OM	0	OM	45161	0.17	SF_5_OM	1	1	OM	45161	O_Horizon	45166	NORM	NA	0.27727825	421.33	NA	36.7156	1.2785	NA	NA
ASCC252_84_0823_SF_1C	Sample252	SF	84	SF_84_OM	0	OM	45162	0.2	SF_84_OM	9	3	OM	45162	O_Horizon	45166	NORM	NA	0.459271469	405.31	NA	33.0723	1.5604	NA	NA
ASCC255_62_0823_SF_1C	Sample255	SF	62	SF_62_OM	0	OM	45162	0.21	SF_62_OM	12	2	OM	45162	O_Horizon	45166	NORM	NA	0.287269312	1999.5	NA	25.5157	1.2549	NA	NA
ASCC256_168_0823_SF_1C	Sample256	SF	168	SF_168_OM	0	OM	45161	0.19	SF_168_OM	0	2	OM	45161	O_Horizon	45166	NORM	NA	0.200385701	157.28	NA	42.0951	1.264	NA	NA
ASCC257_75_0823_SF_1C	Sample257	SF	75	SF_75_OM	0	OM	45162	0.21	SF_75_OM	8	3	OM	45162	O_Horizon	45166	NORM	NA	0.279471447	1090.8	NA	35.1424	1.0891	NA	NA
ASCC258_57_0823_SF_1C	Sample258	SF	57	SF_57_OM	0	OM	45160	0.19	SF_57_OM	7	3	OM	45160	O_Horizon	45166	NORM	NA	0.411430268	1938.2	NA	36.568	1.1964	NA	NA
ASCC259_37_0823_SF_1C	Sample259	SF	37	SF_37_OM	0	OM	45160	0.24	SF_37_OM	4	1	OM	45160	O_Horizon	45166	NORM	NA	0.283845534	548.4	NA	26.7616	1.1377	NA	NA
ASCC26_C4_6_0923_SJ_1C_15	Sample26	SJ	C4	SJ_C4_5_15cm	6	5_15cm	45197	0.5	SJ_C4_5_15cm	C	4	5_15cm	45197	Mineral	45230	NORM	0.82	0.089033659	865.6757228	7.972	3.9922	0.2126	0	0
ASCC263_122_0823_SF_1C	Sample263	SF	122	SF_122_OM	0	OM	45161	0.16	SF_122_OM	5	2	OM	45161	O_Horizon	45166	NORM	NA	0	0	NA	0	0	NA	NA
ASCC264_101_0823_SF_1C	Sample264	SF	101	SF_101_OM	0	OM	45162	0.13	SF_101_OM	13	4	OM	45162	O_Horizon	45166	NORM	NA	0.406814457	654.99	NA	31.1804	1.1182	NA	NA
ASCC266_139_0823_SF_1C	Sample266	SF	139	SF_139_OM	0	OM	45162	0.12	SF_139_OM	10	4	OM	45162	O_Horizon	45166	NORM	NA	0.155773337	313.22	NA	44.7112	1.556	NA	NA
ASCC267_26_0823_SF_1C	Sample267	SF	26	SF_26_OM	0	OM	45161	0.2	SF_26_OM	3	1	OM	45161	O_Horizon	45166	NORM	NA	0.269616925	720.3	NA	32.3758	1.0928	NA	NA
ASCC268_27_0823_SF_1C	Sample268	SF	27	SF_27_OM	0	OM	45161	0.14	SF_27_OM	3	1	OM	45161	O_Horizon	45166	NORM	NA	0.355361145	189.29	NA	32.9241	1.1411	NA	NA
ASCC269_162_0823_SF_1C	Sample269	SF	162	SF_162_OM	0	OM	45161	0.1	SF_162_OM	0	2	OM	45161	O_Horizon	45166	NORM	NA	0.133747148	388.49	NA	42.8148	1.3155	NA	NA
ASCC27_T1A_3_0923_SJ_1C_5	Sample27	SJ	T1A	SJ_TA1_0_5cm	3	0_5cm	45195	0.32	SJ_TA1_0_5cm	TA	1	0_5cm	45195	Mineral	45239	NORM	1.04	0.116201117	771.5007508	6.99	3.3926	0.3452	0	0
ASCC270_138_0823_SF_1C	Sample270	SF	138	SF_138_OM	0	OM	45162	0.27	SF_138_OM	10	4	OM	45162	O_Horizon	45166	NORM	NA	0.514269266	1023.7	NA	23.3263	1.0534	NA	NA
ASCC272_43_0823_SF_1C	Sample272	SF	43	SF_43_OM	0	OM	44795	0.24	SF_43_OM	6	3	OM	45160	O_Horizon	45166	NORM	NA	0.248159717	2151.2	NA	23.5009	0.9747	NA	NA
ASCC273_112_0823_SF_1C	Sample273	SF	112	SF_112_OM	0	OM	45162	0.16	SF_112_OM	14	4	OM	45162	O_Horizon	45166	NORM	NA	0.20800054	1584.36	NA	38.3419	1.1953	NA	NA
ASCC274_40_0823_SF_1C	Sample274	SF	40	SF_40_OM	0	OM	45160	0.22	SF_40_OM	6	3	OM	45160	O_Horizon	45166	NORM	NA	0.273507887	2017.7	NA	31.4885	1.1127	NA	NA
ASCC275_125_0823_SF_1C	Sample275	SF	125	SF_125_OM	0	OM	45161	0.13	SF_125_OM	5	2	OM	45161	O_Horizon	45166	NORM	NA	0.365808397	223.42	NA	27.6975	1.1984	NA	NA
ASCC276_64_0823_SF_1C	Sample276	SF	64	SF_64_OM	0	OM	45161	0.21	SF_64_OM	12	2	OM	45161	O_Horizon	45166	NORM	NA	0.337140752	105.26	NA	35.1121	1.5721	NA	NA
ASCC277_57_0823_SF_1C_5	Sample277	SF	57	SF_57_0_5cm	0	0_5cm	45160	0.67	SF_57_0_5cm	7	3	0_5cm	45160	Mineral	45163	NORM	0.928	0.101089325	407.2966561	5.757	2.1798	0.0515	0.143	0.4009
ASCC278_85_0823_SF_1C_15	Sample278	SF	85	SF_85_5_15cm	0	5_15cm	45162	0.58	SF_85_5_15cm	9	3	5_15cm	45162	Mineral	45163	NORM	0.93	0.102762431	365.926503	5.227	1.7717	0.0656	0.1443	7.2093
ASCC279_168_0823_SF_1C_15	Sample279	SF	168	SF_168_5_15cm	0	5_15cm	45161	0.56	SF_168_5_15cm	0	2	5_15cm	45161	Mineral	45163	NORM	1.118	0.121919302	438.0796365	5.344	3.1867	0.0528	6.3682	0.191
ASCC28_C1_5_0923_SJ_1C_15	Sample28	SJ	C1	SJ_C1_5_15cm	5	5_15cm	45195	0.63	SJ_C1_5_15cm	C	1	5_15cm	45195	Mineral	45222	NORM	1.22	0.139110604	675.7464965	6.561	4.5979	0.2215	1.1381	0.0647
ASCC280_37_0823_SF_1C_15	Sample280	SF	37	SF_37_5_15cm	0	5_15cm	45160	0.59	SF_37_5_15cm	4	1	5_15cm	45160	Mineral	45163	NORM	0.73	0.078579117	1342.367914	5.73	1.3467	0.0452	0.1102	0.3149
ASCC281_103_0823_SF_1C_5	Sample281	SF	103	SF_103_0_5cm	0	0_5cm	45162	0.64	SF_103_0_5cm	13	4	0_5cm	45162	Mineral	45163	NORM	0.88	0.096491228	466.04112	5.235	2.7838	0.1044	0.1223	0.1393
ASCC282_154_0823_SF_1C_15	Sample282	SF	154	SF_154_5_15cm	0	5_15cm	45161	0.45	SF_154_5_15cm	16	2	5_15cm	45161	Mineral	45163	NORM	1.046	0.11431694	496.5194194	5.173	1.7645	0.0541	0.2261	0.5362
ASCC284_154_0823_SF_1C_5	Sample284	SF	154	SF_154_0_5cm	0	0_5cm	45161	0.56	SF_154_0_5cm	16	2	0_5cm	45161	Mineral	45163	NORM	1.1	0.12195122	361.7626087	5.511	3.4247	0.083	0.2204	0.511
ASCC286_162_0823_SF_1C_5	Sample286	SF	162	SF_162_0_5cm	0	0_5cm	45161	0.54	SF_162_0_5cm	0	2	0_5cm	45161	Mineral	45163	NORM	0.62	0.066239316	384.9886172	5.617	2.6457	0.0515	0.2377	0.5311
ASCC288_8_0823_SF_1C_OM	Sample288	SF	8	SF_8_OM	0	OM	45161	0.21	SF_8_OM	1	1	OM	45161	O_Horizon	45166	NORM	NA	0.229435674	496.29	NA	37.8343	1.2048	NA	NA
ASCC289_114_0823_SF_1C_15	Sample289	SF	114	SF_114_5_15cm	0	5_15cm	45162	0.45	SF_114_5_15cm	14	4	5_15cm	45162	Mineral	45163	NORM	1.006	0.111406423	425.5598944	5.657	1.6077	0.0718	0.1232	0.2293
ASCC29_C3_3_0923_SJ_1C_15	Sample29	SJ	C3	SJ_C3_0_5cm	3	0_5cm	45196	0.5	SJ_C3_0_5cm	C	3	0_5cm	45196	Mineral	45223	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807
ASCC290_101_0823_SF_1C_5	Sample290	SF	101	SF_101_0_5cm	0	0_5cm	45162	0.52	SF_101_0_5cm	13	4	0_5cm	45162	Mineral	45163	NORM	1.198	0.135367232	272.2467158	5.573	5.2988	0.1175	0.211	0.0456
ASCC291_84_0823_SF_1C_15	Sample291	SF	84	SF_84_5_15cm	0	5_15cm	45162	0.66	SF_84_5_15cm	9	3	5_15cm	45162	Mineral	45163	NORM	0.752	0.081209503	478.6861366	5.661	1.3366	0.064	0.1479	0.0604
ASCC292_55_0823_SF_1C_5	Sample292	SF	55	SF_55_0_5cm	0	0_5cm	45160	0.45	SF_55_0_5cm	7	3	0_5cm	45160	Mineral	45163	NORM	1.43	0.167643611	669.1254016	5.504	2.9383	0.0862	0.1098	0.3722
ASCC293_62_0823_SF_1C_5	Sample293	SF	62	SF_62_0_5cm	0	0_5cm	45162	0.66	SF_62_0_5cm	12	2	0_5cm	45162	Mineral	45163	NORM	1.82	0.223587224	533.3906627	5.845	5.039	0.1808	0.214	0.0255
ASCC295_26_0823_SF_1C_5	Sample295	SF	26	SF_26_0_5cm	0	0_5cm	45161	0.52	SF_26_0_5cm	3	1	0_5cm	45161	Mineral	45163	NORM	0.87	0.095604396	400.4182548	6.325	2.8027	0.0706	0.1623	0.4669
ASCC296_122_0823_SF_1C_5	Sample296	SF	122	SF_122_0_5cm	0	0_5cm	45161	0.56	SF_122_0_5cm	5	2	0_5cm	45161	Mineral	45163	NORM	1.458	0.167586207	563.0076787	5.567	1.9731	0.0671	0.1616	0.4913
ASCC297_64_0823_SF_1C_15	Sample297	SF	64	SF_64_5_15cm	0	5_15cm	45161	0.65	SF_64_5_15cm	12	2	5_15cm	45161	Mineral	45163	NORM	0.752	0.080085197	388.6267501	5.422	1.3779	0.065	0.1725	0.4962
ASCC298_76_0823_SF_1C_5	Sample298	SF	76	SF_76_0_5cm	0	0_5cm	45142	0.49	SF_76_0_5cm	8	3	0_5cm	45162	Mineral	45163	NORM	0.984	0.108729282	322.2517939	5.571	2.3725	0.061	0.1562	0.0187
ASCC299_5_0823_SF_1C_15	Sample299	SF	5	SF_5_5_15cm	0	5_15cm	44796	0.62	SF_5_5_15cm	1	1	5_15cm	45161	Mineral	45163	NORM	0.62	0.066098081	283.91384	5.716	1.2168	0.0403	0.1003	0.4234
ASCC3_T4A_5_0923_SJ_1C_5	Sample3	SJ	T4A	SJ_TA4_0_5cm	5	0_5cm	45194	0.55	SJ_TA4_0_5cm	TA	4	0_5cm	45197	Mineral	45240	NORM	1.4	0.163551402	672.7850602	7.418	3.2942	0.3046	0	0
ASCC30_T1A_2_0923_SJ_1C_15	Sample30	SJ	T1A	SJ_TA1_5_15cm	2	5_15cm	45195	0.56	SJ_TA1_5_15cm	TA	1	5_15cm	45195	Mineral	45239	NORM	1.474	0.163777778	561.2239832	7.657	3.7772	0.2363	0	0
ASCC300_32_0823_SF_1C_15	Sample300	SF	32	SF_32_5_15cm	0	5_15cm	45160	0.61	SF_32_5_15cm	4	1	5_15cm	45160	Mineral	45163	NORM	0.74	0.079229122	899.2529762	5.66	1.3644	0.0354	0.1269	3.6793
ASCC301_16_0823_SF_1C_15	Sample301	SF	16	SF_16_5_15cm	0	5_15cm	45161	0.44	SF_16_5_15cm	2	1	5_15cm	45161	Mineral	45163	NORM	1.19	0.135535308	264.1573521	5.38	4.8703	0.1031	0.155	0.4596
ASCC302_151_0823_SF_1C_5	Sample302	SF	151	SF_151_0_5cm	0	0_5cm	45161	0.4	SF_151_0_5cm	16	2	0_5cm	45161	Mineral	45163	NORM	1.25	0.143348624	309.2844935	5.24	4.6836	0.1494	0.1634	4.5152
ASCC303_43_0823_SF_1C_5	Sample303	SF	43	SF_43_0_5cm	0	0_5cm	45160	0.69	SF_43_0_5cm	6	3	0_5cm	45160	Mineral	45163	NORM	0.64	0.068085106	354.6440239	5.625	2.5623	0.0716	0.1366	0.3547
ASCC304_8_0823_SF_1C_5	Sample304	SF	8	SF_8_0_5cm	0	0_5cm	45161	0.83	SF_8_0_5cm	1	1	0_5cm	45161	Mineral	45163	NORM	1.08	0.116756757	589.6539206	5.487	2.305	0.0437	0.1103	0.4311
ASCC305_38_0823_SF_1C_5	Sample305	SF	38	SF_38_0_5cm	0	0_5cm	45162	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCC306_8_0823_SF_1C_15	Sample306	SF	8	SF_8_5_15cm	0	5_15cm	45161	0.69	SF_8_5_15cm	1	1	5_15cm	45161	Mineral	45163	NORM	0.836	0.090086207	596.6408857	5.843	1.2373	0.0406	0.1185	0.4491
ASCC307_125_0823_SF_1C_5	Sample307	SF	125	SF_125_0_5cm	0	0_5cm	45161	0.42	SF_125_0_5cm	5	2	0_5cm	45161	Mineral	45163	NORM	0.79	0.085590466	337.9911776	5.914	3.1867	0.079	0.3159	0.4889
ASCC308_64_0823_SF_1C_5	Sample308	SF	64	SF_64_0_5cm	0	0_5cm	45161	0.61	SF_64_0_5cm	12	2	0_5cm	45161	Mineral	45163	NORM	1.886	0.221882353	281.2382053	5.502	1.4917	0.05	0.187	0.4916
ASCC309_26_0823_SF_1C_15	Sample309	SF	26	SF_26_5_15cm	0	5_15cm	45161	0.7	SF_26_5_15cm	3	1	5_15cm	45161	Mineral	45163	NORM	0.77	0.0835141	361.0197598	6.574	1.7884	0.0473	0.1359	0.4883
ASCC31_T4B_5_0923_SJ_1C_5	Sample31	SJ	T4B	SJ_TB4_0_5cm	5	0_5cm	45197	0.37	SJ_TB4_0_5cm	TB	4	0_5cm	45197	Mineral	45223	NORM	1.47	0.171728972	387.5042871	5.683	4.3277	0.337	2.6283	0.0753
ASCC310_122_0823_SF_1C_15	Sample310	SF	122	SF_122_5_15cm	0	5_15cm	45161	0.55	SF_122_5_15cm	5	2	5_15cm	45161	Mineral	45163	NORM	1.574	0.183449883	382.9143983	5.396	1.523	0.0663	0.1609	0.4934
ASCC311_103_0823_SF_1C_15	Sample311	SF	103	SF_103_5_15cm	0	5_15cm	45162	0.6	SF_103_5_15cm	13	4	5_15cm	45162	Mineral	45163	NORM	0.83	0.090710383	559.1218437	5.472	0.9776	0.0398	0.1139	0.1675
ASCC312_27_0823_SF_1C_5	Sample312	SF	27	SF_27_0_5cm	0	0_5cm	45161	0.71	SF_27_0_5cm	3	1	0_5cm	45161	Mineral	45163	NORM	0.894	0.096544276	375.6255072	5.521	1.897	0.0463	0.1475	0.4876
ASCC313_55_0823_SF_1C_15	Sample313	SF	55	SF_55_5_15cm	0	5_15cm	45160	0.46	SF_55_5_15cm	7	3	5_15cm	45160	Mineral	45163	NORM	1.21	0.137970353	1519.415681	5.807	1.0859	0.0497	0.1078	0.3854
ASCC314_151_0823_SF_1C_15	Sample314	SF	151	SF_151_5_15cm	0	5_15cm	45161	0.44	SF_151_5_15cm	16	2	5_15cm	45161	Mineral	45163	NORM	1.25	0.143184422	284.4247996	5.639	4.7348	0.154	0.2051	0.4761
ASCC315_75_0823_SF_1C_15	Sample315	SF	75	SF_75_5_15cm	0	5_15cm	45162	0.71	SF_75_5_15cm	8	3	5_15cm	45162	Mineral	45163	NORM	0.96	0.105726872	536.7871713	5.764	1.1249	0.0379	0.1263	0.0742
ASCC316_114_0823_SF_1C_5	Sample316	SF	114	SF_114_0_5cm	0	0_5cm	45162	0.5	SF_114_0_5cm	14	4	0_5cm	45162	Mineral	45163	NORM	1.2	0.135440181	489.2023459	5.694	3.6401	0.1342	0.1714	0.2122
ASCC317_101_0823_SF_1C_15	Sample317	SF	101	SF_101_5_15cm	0	5_15cm	45162	0.43	SF_101_5_15cm	13	4	5_15cm	45162	Mineral	45163	NORM	1.124	0.126150393	271.2337552	5.548	3.6485	0.0949	0.1121	0.107
ASCC318_162_0823_SF_1C_15	Sample318	SF	162	SF_162_5_15cm	0	5_15cm	45161	0.45	SF_162_5_15cm	0	2	5_15cm	45161	Mineral	45163	NORM	0.67	0.071965628	318.3404309	5.141	1.0754	0.0313	0.3286	82.4654
